                                                                                                                                                                                                                                                                
                        1
               freq_units
CYC_PER_DAY              
                        1                         2                         3                         4                         5                         6                         7                         8                         9
                   E_norm                    M_star                    R_star                  Re(freq)                  Im(freq)                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1446034051024115E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.2530261993337607E+000   0.0000000000000000E+000                         1                       -64   0.4887390103939794E-001   0.0000000000000000E+000
  0.1350323630284292E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.2570361878725116E+000   0.0000000000000000E+000                         1                       -63   0.4964846028870916E-001   0.0000000000000000E+000
  0.1254295810485974E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.2611683184919039E+000   0.0000000000000000E+000                         1                       -62   0.5044661219355461E-001   0.0000000000000000E+000
  0.1160396746455789E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.2654246484955660E+000   0.0000000000000000E+000                         1                       -61   0.5126875413750250E-001   0.0000000000000000E+000
  0.1076838802379405E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.2698088648693814E+000   0.0000000000000000E+000                         1                       -60   0.5211559828942573E-001   0.0000000000000000E+000
  0.1006178556810381E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.2743253340874979E+000   0.0000000000000000E+000                         1                       -59   0.5298798806643275E-001   0.0000000000000000E+000
  0.9505032164181784E-007   0.5965229612094151E+034   0.1410937861807985E+012   0.2789787901367967E+000   0.0000000000000000E+000                         1                       -58   0.5388683787346248E-001   0.0000000000000000E+000
  0.9143213773209829E-007   0.5965229612094151E+034   0.1410937861807985E+012   0.2837731877940525E+000   0.0000000000000000E+000                         1                       -57   0.5481291160519947E-001   0.0000000000000000E+000
  0.9045580019453389E-007   0.5965229612094151E+034   0.1410937861807985E+012   0.2887154199906616E+000   0.0000000000000000E+000                         1                       -56   0.5576754068284761E-001   0.0000000000000000E+000
  0.9293179413158540E-007   0.5965229612094151E+034   0.1410937861807985E+012   0.2938186328361739E+000   0.0000000000000000E+000                         1                       -55   0.5675326437569553E-001   0.0000000000000000E+000
  0.9982482904561239E-007   0.5965229612094151E+034   0.1410937861807985E+012   0.2991030186359757E+000   0.0000000000000000E+000                         1                       -54   0.5777398297840763E-001   0.0000000000000000E+000
  0.1118271790156471E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3045918286207725E+000   0.0000000000000000E+000                         1                       -53   0.5883418763993032E-001   0.0000000000000000E+000
  0.1297405041640301E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3103076546014787E+000   0.0000000000000000E+000                         1                       -52   0.5993824213735002E-001   0.0000000000000000E+000
  0.1545815572936472E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3162701741772548E+000   0.0000000000000000E+000                         1                       -51   0.6108994734597770E-001   0.0000000000000000E+000
  0.1872959682822863E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3224969811936242E+000   0.0000000000000000E+000                         1                       -50   0.6229270164853921E-001   0.0000000000000000E+000
  0.2289777797010279E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3290053305389695E+000   0.0000000000000000E+000                         1                       -49   0.6354983795565598E-001   0.0000000000000000E+000
  0.2804967292156629E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3358115793606491E+000   0.0000000000000000E+000                         1                       -48   0.6486451577256261E-001   0.0000000000000000E+000
  0.3420914597086641E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3429298946026075E+000   0.0000000000000000E+000                         1                       -47   0.6623947155033881E-001   0.0000000000000000E+000
  0.4141694462214260E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3503725395320046E+000   0.0000000000000000E+000                         1                       -46   0.6767707403066900E-001   0.0000000000000000E+000
  0.4989869154067667E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3581554182659164E+000   0.0000000000000000E+000                         1                       -45   0.6918039521260355E-001   0.0000000000000000E+000
  0.5994759903039428E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3662999493888583E+000   0.0000000000000000E+000                         1                       -44   0.7075357225578356E-001   0.0000000000000000E+000
  0.7180854925173881E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3748345951188705E+000   0.0000000000000000E+000                         1                       -43   0.7240210285029611E-001   0.0000000000000000E+000
  0.8554095865415014E-006   0.5965229612094151E+034   0.1410937861807985E+012   0.3837900536220833E+000   0.0000000000000000E+000                         1                       -42   0.7413191657630917E-001   0.0000000000000000E+000
  0.1008683551428021E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.3931937144105128E+000   0.0000000000000000E+000                         1                       -41   0.7594830392272593E-001   0.0000000000000000E+000
  0.1171604891061810E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4030674750727979E+000   0.0000000000000000E+000                         1                       -40   0.7785549457241307E-001   0.0000000000000000E+000
  0.1343925641771160E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4134349163053986E+000   0.0000000000000000E+000                         1                       -39   0.7985804331308925E-001   0.0000000000000000E+000
  0.1526843847455295E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4243219852417680E+000   0.0000000000000000E+000                         1                       -38   0.8196096202746060E-001   0.0000000000000000E+000
  0.1725383794140741E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4357624461648867E+000   0.0000000000000000E+000                         1                       -37   0.8417077253907507E-001   0.0000000000000000E+000
  0.1951922521412158E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4477998557150944E+000   0.0000000000000000E+000                         1                       -36   0.8649588813847402E-001   0.0000000000000000E+000
  0.2214379602078077E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4604889275720318E+000   0.0000000000000000E+000                         1                       -35   0.8894687718170635E-001   0.0000000000000000E+000
  0.2511057157719893E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4738911983298542E+000   0.0000000000000000E+000                         1                       -34   0.9153562592174100E-001   0.0000000000000000E+000
  0.2834759863141553E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.4880649035813721E+000   0.0000000000000000E+000                         1                       -33   0.9427338299847171E-001   0.0000000000000000E+000
  0.3173716166703761E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.5030563916601892E+000   0.0000000000000000E+000                         1                       -32   0.9716910093885364E-001   0.0000000000000000E+000
  0.3539833279628590E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.5189166172018445E+000   0.0000000000000000E+000                         1                       -31   0.1002326220114794E+000   0.0000000000000000E+000
  0.3970794142662706E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.5357283136686345E+000   0.0000000000000000E+000                         1                       -30   0.1034799268027847E+000   0.0000000000000000E+000
  0.4486824956942997E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.5536171465224861E+000   0.0000000000000000E+000                         1                       -29   0.1069352885357261E+000   0.0000000000000000E+000
  0.5069149213131830E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.5727147376055701E+000   0.0000000000000000E+000                         1                       -28   0.1106241309526110E+000   0.0000000000000000E+000
  0.5684912442728498E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.5931285715456187E+000   0.0000000000000000E+000                         1                       -27   0.1145672155124220E+000   0.0000000000000000E+000
  0.6373488953528349E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.6149602000674668E+000   0.0000000000000000E+000                         1                       -26   0.1187841576896163E+000   0.0000000000000000E+000
  0.7270634193788723E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.6383742288657440E+000   0.0000000000000000E+000                         1                       -25   0.1233067523040624E+000   0.0000000000000000E+000
  0.8534930464267832E-005   0.5965229612094151E+034   0.1410937861807985E+012   0.6636386979599892E+000   0.0000000000000000E+000                         1                       -24   0.1281867732883570E+000   0.0000000000000000E+000
  0.1026473726629953E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.6910743000750537E+000   0.0000000000000000E+000                         1                       -23   0.1334861648385546E+000   0.0000000000000000E+000
  0.1250820862080551E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.7209798975490790E+000   0.0000000000000000E+000                         1                       -22   0.1392626544483978E+000   0.0000000000000000E+000
  0.1541867611712038E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.7536631864987881E+000   0.0000000000000000E+000                         1                       -21   0.1455756759219690E+000   0.0000000000000000E+000
  0.1929995671899574E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.7895366905903408E+000   0.0000000000000000E+000                         1                       -20   0.1525049112878067E+000   0.0000000000000000E+000
  0.2437847823479120E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.8291326231864238E+000   0.0000000000000000E+000                         1                       -19   0.1601531615336673E+000   0.0000000000000000E+000
  0.3070640303845361E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.8729930666310509E+000   0.0000000000000000E+000                         1                       -18   0.1686251339147930E+000   0.0000000000000000E+000
  0.3849560565159976E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.9216227902655865E+000   0.0000000000000000E+000                         1                       -17   0.1780183284011572E+000   0.0000000000000000E+000
  0.4889908835485823E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.9756285135018830E+000   0.0000000000000000E+000                         1                       -16   0.1884499373806297E+000   0.0000000000000000E+000
  0.6485333790180213E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.1035921491785092E+001   0.0000000000000000E+000                         1                       -15   0.2000959766514371E+000   0.0000000000000000E+000
  0.9225945945089996E-004   0.5965229612094151E+034   0.1410937861807985E+012   0.1103879917970488E+001   0.0000000000000000E+000                         1                       -14   0.2132226544615761E+000   0.0000000000000000E+000
  0.1420839996705633E-003   0.5965229612094151E+034   0.1410937861807985E+012   0.1181638356565564E+001   0.0000000000000000E+000                         1                       -13   0.2282422778953569E+000   0.0000000000000000E+000
  0.2306524262286473E-003   0.5965229612094151E+034   0.1410937861807985E+012   0.1271989131021837E+001   0.0000000000000000E+000                         1                       -12   0.2456942050919713E+000   0.0000000000000000E+000
  0.3793905146805744E-003   0.5965229612094151E+034   0.1410937861807985E+012   0.1377897739324897E+001   0.0000000000000000E+000                         1                       -11   0.2661512441458455E+000   0.0000000000000000E+000
  0.6314550875545900E-003   0.5965229612094151E+034   0.1410937861807985E+012   0.1502400327840039E+001   0.0000000000000000E+000                         1                       -10   0.2901998494138378E+000   0.0000000000000000E+000
  0.1129113478479758E-002   0.5965229612094151E+034   0.1410937861807985E+012   0.1650273099620462E+001   0.0000000000000000E+000                         1                        -9   0.3187625802039595E+000   0.0000000000000000E+000
  0.2294514044439100E-002   0.5965229612094151E+034   0.1410937861807985E+012   0.1830961574022716E+001   0.0000000000000000E+000                         1                        -8   0.3536639091578315E+000   0.0000000000000000E+000
  0.5203983618797433E-002   0.5965229612094151E+034   0.1410937861807985E+012   0.2060960141701834E+001   0.0000000000000000E+000                         1                        -7   0.3980898510782760E+000   0.0000000000000000E+000
  0.1215303421294922E-001   0.5965229612094151E+034   0.1410937861807985E+012   0.2364940188436968E+001   0.0000000000000000E+000                         1                        -6   0.4568058684756974E+000   0.0000000000000000E+000
  0.2710860704667083E-001   0.5965229612094151E+034   0.1410937861807985E+012   0.2778987242512802E+001   0.0000000000000000E+000                         1                        -5   0.5367821507731033E+000   0.0000000000000000E+000
