                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                freq_units                         l                      n_pg                 Re(omega)                 Im(omega)
  0.5868842084554447E+001   0.0000000000000000E+000 CYC_PER_DAY                                       1                        -5   0.3101798217990401E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5
                        x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.2429453576371539E-001  -0.4643694969018028E+000   0.0000000000000000E+000  -0.4904883459536102E+000   0.0000000000000000E+000
  0.2472203096031418E-001  -0.4648339072868539E+000   0.0000000000000000E+000  -0.4919687982492532E+000   0.0000000000000000E+000
  0.2514931585289612E-001  -0.4653077723859929E+000   0.0000000000000000E+000  -0.4934827649760211E+000   0.0000000000000000E+000
  0.2556547357944126E-001  -0.4657785539110967E+000   0.0000000000000000E+000  -0.4949906838857017E+000   0.0000000000000000E+000
  0.2577475554650824E-001  -0.4660188934083610E+000   0.0000000000000000E+000  -0.4957615985273582E+000   0.0000000000000000E+000
  0.2598143360089830E-001  -0.4662585701930033E+000   0.0000000000000000E+000  -0.4965312783593823E+000   0.0000000000000000E+000
  0.2638736214931121E-001  -0.4667359693769768E+000   0.0000000000000000E+000  -0.4980673903639448E+000   0.0000000000000000E+000
  0.2679311929053787E-001  -0.4672223278674665E+000   0.0000000000000000E+000  -0.4996355725348775E+000   0.0000000000000000E+000
  0.2718977384593828E-001  -0.4677065840098650E+000   0.0000000000000000E+000  -0.5012006505858163E+000   0.0000000000000000E+000
  0.2758627529275032E-001  -0.4681994509842405E+000   0.0000000000000000E+000  -0.5027972841041356E+000   0.0000000000000000E+000
  0.2797448645361723E-001  -0.4686906301406948E+000   0.0000000000000000E+000  -0.5043921423453201E+000   0.0000000000000000E+000
  0.2836256222022228E-001  -0.4691902508735764E+000   0.0000000000000000E+000  -0.5060181634652151E+000   0.0000000000000000E+000
  0.2874305811002162E-001  -0.4696884488950120E+000   0.0000000000000000E+000  -0.5076436624386347E+000   0.0000000000000000E+000
  0.2893413987286372E-001  -0.4699418529497899E+000   0.0000000000000000E+000  -0.5084717817949483E+000   0.0000000000000000E+000
  0.2912343003048112E-001  -0.4701949849395421E+000   0.0000000000000000E+000  -0.5093000002672882E+000   0.0000000000000000E+000
  0.2949685362146126E-001  -0.4707004563737210E+000   0.0000000000000000E+000  -0.5109570550579957E+000   0.0000000000000000E+000
  0.2987017592365671E-001  -0.4712141432414914E+000   0.0000000000000000E+000  -0.5126447869007289E+000   0.0000000000000000E+000
  0.3023709884217477E-001  -0.4717271428758568E+000   0.0000000000000000E+000  -0.5143343591894303E+000   0.0000000000000000E+000
  0.3060393704423964E-001  -0.4722481187928034E+000   0.0000000000000000E+000  -0.5160544975234330E+000   0.0000000000000000E+000
  0.3096487060428002E-001  -0.4716783952080804E+000   0.0000000000000000E+000  -0.5177708610138502E+000   0.0000000000000000E+000
  0.3132575401192750E-001  -0.4678790381403089E+000   0.0000000000000000E+000  -0.5194563358885721E+000   0.0000000000000000E+000
  0.3168121598613895E-001  -0.4608368783539796E+000   0.0000000000000000E+000  -0.5210153288111828E+000   0.0000000000000000E+000
  0.3203668675053276E-001  -0.4505335711745212E+000   0.0000000000000000E+000  -0.5224063238723705E+000   0.0000000000000000E+000
  0.3221253537054573E-001  -0.4442289138350975E+000   0.0000000000000000E+000  -0.5230124689098476E+000   0.0000000000000000E+000
  0.3238717305600950E-001  -0.4371560931426573E+000   0.0000000000000000E+000  -0.5235506833482798E+000   0.0000000000000000E+000
  0.3256245045256065E-001  -0.4275082376281457E+000   0.0000000000000000E+000  -0.5240136275552405E+000   0.0000000000000000E+000
  0.3273772784911180E-001  -0.4131445688175526E+000   0.0000000000000000E+000  -0.5243573509850853E+000   0.0000000000000000E+000
  0.3291075518315831E-001  -0.3986610918612056E+000   0.0000000000000000E+000  -0.5245512580635815E+000   0.0000000000000000E+000
  0.3308378251720483E-001  -0.3870498543180165E+000   0.0000000000000000E+000  -0.5246220314557267E+000   0.0000000000000000E+000
  0.3325686946612522E-001  -0.3761739603073828E+000   0.0000000000000000E+000  -0.5245931149532405E+000   0.0000000000000000E+000
  0.3342995641504561E-001  -0.3641881376736121E+000   0.0000000000000000E+000  -0.5244628690161178E+000   0.0000000000000000E+000
  0.3360093673085827E-001  -0.3494135211958479E+000   0.0000000000000000E+000  -0.5242173741201781E+000   0.0000000000000000E+000
  0.3377191704667094E-001  -0.3301237716297464E+000   0.0000000000000000E+000  -0.5238163530640285E+000   0.0000000000000000E+000
  0.3394302696785571E-001  -0.3108162935168577E+000   0.0000000000000000E+000  -0.5232348411878642E+000   0.0000000000000000E+000
  0.3411413688904048E-001  -0.2950314286519414E+000   0.0000000000000000E+000  -0.5224991077503113E+000   0.0000000000000000E+000
  0.3428329786788145E-001  -0.2787765271331902E+000   0.0000000000000000E+000  -0.5216432074572441E+000   0.0000000000000000E+000
