                                                                                                                                                                                                                                                                
                        1
               freq_units
CYC_PER_DAY              
                        1                         2                         3                         4                         5                         6                         7                         8                         9
                   E_norm                    M_star                    R_star                  Re(freq)                  Im(freq)                         l                      n_pg                 Re(omega)                 Im(omega)
  0.2619261420515475E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2525733455153802E+000   0.0000000000000000E+000                         1                       -63   0.6477153009898438E-001   0.0000000000000000E+000
  0.2874256440935447E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2565538179744706E+000   0.0000000000000000E+000                         1                       -62   0.6579230800872805E-001   0.0000000000000000E+000
  0.3300277521335611E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2608048928361146E+000   0.0000000000000000E+000                         1                       -61   0.6688248093569371E-001   0.0000000000000000E+000
  0.3893929856118078E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2652781920734320E+000   0.0000000000000000E+000                         1                       -60   0.6802964250810919E-001   0.0000000000000000E+000
  0.4696905136953571E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2699263195326159E+000   0.0000000000000000E+000                         1                       -59   0.6922163815203639E-001   0.0000000000000000E+000
  0.5804829603690117E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2746697891816404E+000   0.0000000000000000E+000                         1                       -58   0.7043808395916808E-001   0.0000000000000000E+000
  0.7500102492890893E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2793255891166062E+000   0.0000000000000000E+000                         1                       -57   0.7163204718203763E-001   0.0000000000000000E+000
  0.9613509517709887E-006   0.5965229612094151E+034   0.1704372973046997E+012   0.2836613684714685E+000   0.0000000000000000E+000                         1                       -56   0.7274394227299812E-001   0.0000000000000000E+000
  0.1025095005880187E-005   0.5965229612094151E+034   0.1704372973046997E+012   0.2880799132354285E+000   0.0000000000000000E+000                         1                       -55   0.7387706225677375E-001   0.0000000000000000E+000
  0.1080803559492922E-005   0.5965229612094151E+034   0.1704372973046997E+012   0.2931795464161325E+000   0.0000000000000000E+000                         1                       -54   0.7518484492633352E-001   0.0000000000000000E+000
  0.1213118290078139E-005   0.5965229612094151E+034   0.1704372973046997E+012   0.2988590946540207E+000   0.0000000000000000E+000                         1                       -53   0.7664134473587739E-001   0.0000000000000000E+000
