                                                                                                                                                                                                                                                                
                        1
               freq_units
CYC_PER_DAY              
                        1                         2                         3                         4                         5                         6                         7                         8                         9
                   E_norm                    M_star                    R_star                  Re(freq)                  Im(freq)                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1370936466658652E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2502784806272185E+000   0.0000000000000000E+000                         1                       -70   0.1020322621046578E+000   0.0000000000000000E+000
  0.1592721019290670E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2542160842810433E+000   0.0000000000000000E+000                         1                       -69   0.1036375243991405E+000   0.0000000000000000E+000
  0.1967943077428419E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2577188225533452E+000   0.0000000000000000E+000                         1                       -68   0.1050655029795917E+000   0.0000000000000000E+000
  0.1790487819942768E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2614400452410563E+000   0.0000000000000000E+000                         1                       -67   0.1065825521788310E+000   0.0000000000000000E+000
  0.1957456836003229E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2656656757323838E+000   0.0000000000000000E+000                         1                       -66   0.1083052357941704E+000   0.0000000000000000E+000
  0.2320419200683931E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2696154789261079E+000   0.0000000000000000E+000                         1                       -65   0.1099154715352294E+000   0.0000000000000000E+000
  0.2190575911656370E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2737274901876879E+000   0.0000000000000000E+000                         1                       -64   0.1115918354390192E+000   0.0000000000000000E+000
  0.2369406911800362E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2782963832822234E+000   0.0000000000000000E+000                         1                       -63   0.1134544586121403E+000   0.0000000000000000E+000
  0.2773839594915062E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2825951858745429E+000   0.0000000000000000E+000                         1                       -62   0.1152069726586397E+000   0.0000000000000000E+000
  0.2600342671989861E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2871008772523241E+000   0.0000000000000000E+000                         1                       -61   0.1170438300762985E+000   0.0000000000000000E+000
  0.2781509181234032E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2921672008490177E+000   0.0000000000000000E+000                         1                       -60   0.1191092431946352E+000   0.0000000000000000E+000
  0.3414719590328929E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.2969117260266376E+000   0.0000000000000000E+000                         1                       -59   0.1210434671649577E+000   0.0000000000000000E+000
  0.3271140558393152E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3016478760358844E+000   0.0000000000000000E+000                         1                       -58   0.1229742767890988E+000   0.0000000000000000E+000
  0.3390550755670364E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3070603128042797E+000   0.0000000000000000E+000                         1                       -57   0.1251807915705288E+000   0.0000000000000000E+000
  0.4071244069491645E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3123122726714835E+000   0.0000000000000000E+000                         1                       -56   0.1273218839424769E+000   0.0000000000000000E+000
  0.4099050641282113E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3174668399566777E+000   0.0000000000000000E+000                         1                       -55   0.1294232718003582E+000   0.0000000000000000E+000
  0.4086166457853154E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3232603667534706E+000   0.0000000000000000E+000                         1                       -54   0.1317851474324914E+000   0.0000000000000000E+000
  0.4429354532046842E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3293679723218597E+000   0.0000000000000000E+000                         1                       -53   0.1342750651058927E+000   0.0000000000000000E+000
  0.4872858627704214E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3354835139148337E+000   0.0000000000000000E+000                         1                       -52   0.1367682180975622E+000   0.0000000000000000E+000
  0.4960769947083881E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3417669679476791E+000   0.0000000000000000E+000                         1                       -51   0.1393298247814256E+000   0.0000000000000000E+000
  0.4906100104742385E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3487745405579657E+000   0.0000000000000000E+000                         1                       -50   0.1421866364557587E+000   0.0000000000000000E+000
  0.5536618344668980E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3562002899374907E+000   0.0000000000000000E+000                         1                       -49   0.1452139283152762E+000   0.0000000000000000E+000
  0.6372865419695984E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3632131288336565E+000   0.0000000000000000E+000                         1                       -48   0.1480728869223372E+000   0.0000000000000000E+000
  0.5954851065014997E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3708425635792296E+000   0.0000000000000000E+000                         1                       -47   0.1511832161992284E+000   0.0000000000000000E+000
  0.6487855131753211E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3795640550863362E+000   0.0000000000000000E+000                         1                       -46   0.1547387496400842E+000   0.0000000000000000E+000
  0.8462814026625684E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3875881303674201E+000   0.0000000000000000E+000                         1                       -45   0.1580099639697193E+000   0.0000000000000000E+000
  0.7524127439560722E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.3957186535892657E+000   0.0000000000000000E+000                         1                       -44   0.1613245744561677E+000   0.0000000000000000E+000
  0.7540347779043951E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.4059077042131143E+000   0.0000000000000000E+000                         1                       -43   0.1654783949574142E+000   0.0000000000000000E+000
  0.1109072966008855E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4154988662230752E+000   0.0000000000000000E+000                         1                       -42   0.1693884712597638E+000   0.0000000000000000E+000
  0.1025073116599415E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4237573160022487E+000   0.0000000000000000E+000                         1                       -41   0.1727552341965336E+000   0.0000000000000000E+000
  0.9331377056747455E-004   0.5965229612094151E+034   0.2321540240675007E+012   0.4353322527900145E+000   0.0000000000000000E+000                         1                       -40   0.1774740457428338E+000   0.0000000000000000E+000
  0.1354157239336684E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4473758676813880E+000   0.0000000000000000E+000                         1                       -39   0.1823839256022792E+000   0.0000000000000000E+000
  0.1625520203493627E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4564826095254970E+000   0.0000000000000000E+000                         1                       -38   0.1860965159473579E+000   0.0000000000000000E+000
  0.1314182346510679E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4691887973201785E+000   0.0000000000000000E+000                         1                       -37   0.1912765101688705E+000   0.0000000000000000E+000
  0.1741893661756168E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4838893194931894E+000   0.0000000000000000E+000                         1                       -36   0.1972695445187396E+000   0.0000000000000000E+000
  0.2496594256588983E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.4954059448726285E+000   0.0000000000000000E+000                         1                       -35   0.2019645839657239E+000   0.0000000000000000E+000
  0.1965143615461927E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.5093719771870202E+000   0.0000000000000000E+000                         1                       -34   0.2076581852137937E+000   0.0000000000000000E+000
  0.2445033414635717E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.5266400567339001E+000   0.0000000000000000E+000                         1                       -33   0.2146979483366793E+000   0.0000000000000000E+000
  0.3555577215356552E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.5411556716305217E+000   0.0000000000000000E+000                         1                       -32   0.2206156006255645E+000   0.0000000000000000E+000
  0.2978846691290132E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.5575748195431383E+000   0.0000000000000000E+000                         1                       -31   0.2273092756037602E+000   0.0000000000000000E+000
  0.3639230577577589E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.5781756461135674E+000   0.0000000000000000E+000                         1                       -30   0.2357077161366376E+000   0.0000000000000000E+000
  0.5425795684415172E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.5956077153937580E+000   0.0000000000000000E+000                         1                       -29   0.2428143337625940E+000   0.0000000000000000E+000
  0.4388401852713184E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.6153858054437767E+000   0.0000000000000000E+000                         1                       -28   0.2508773652419914E+000   0.0000000000000000E+000
  0.5217948897201992E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.6412893860516258E+000   0.0000000000000000E+000                         1                       -27   0.2614376056566112E+000   0.0000000000000000E+000
  0.9845626453697481E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.6621425285703737E+000   0.0000000000000000E+000                         1                       -26   0.2699389090760922E+000   0.0000000000000000E+000
  0.6901897267769689E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.6840713832334372E+000   0.0000000000000000E+000                         1                       -25   0.2788787533688552E+000   0.0000000000000000E+000
  0.8194424163341287E-003   0.5965229612094151E+034   0.2321540240675007E+012   0.7171338113673379E+000   0.0000000000000000E+000                         1                       -24   0.2923574764485242E+000   0.0000000000000000E+000
  0.2036296476165779E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.7453571097257985E+000   0.0000000000000000E+000                         1                       -23   0.3038634076350636E+000   0.0000000000000000E+000
  0.1393747384003059E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.7686138917418001E+000   0.0000000000000000E+000                         1                       -22   0.3133446146186635E+000   0.0000000000000000E+000
  0.1641453748899517E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.8109591784535721E+000   0.0000000000000000E+000                         1                       -21   0.3306077264205438E+000   0.0000000000000000E+000
  0.3429875776643483E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.8541177776454573E+000   0.0000000000000000E+000                         1                       -20   0.3482024053309343E+000   0.0000000000000000E+000
  0.4046211709274264E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.8837945274003408E+000   0.0000000000000000E+000                         1                       -19   0.3603008722139689E+000   0.0000000000000000E+000
  0.3837848186034959E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.9363423007249637E+000   0.0000000000000000E+000                         1                       -18   0.3817232820329735E+000   0.0000000000000000E+000
  0.6326955486236254E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.1000441387249035E+001   0.0000000000000000E+000                         1                       -17   0.4078548726535610E+000   0.0000000000000000E+000
  0.1282952499349785E-001   0.5965229612094151E+034   0.2321540240675007E+012   0.1048119693266357E+001   0.0000000000000000E+000                         1                       -16   0.4272921227282545E+000   0.0000000000000000E+000
  0.9872672724856840E-002   0.5965229612094151E+034   0.2321540240675007E+012   0.1109720503518591E+001   0.0000000000000000E+000                         1                       -15   0.4524052287442561E+000   0.0000000000000000E+000
  0.1504461571640412E-001   0.5965229612094151E+034   0.2321540240675007E+012   0.1202688455260352E+001   0.0000000000000000E+000                         1                       -14   0.4903059319756188E+000   0.0000000000000000E+000
  0.4323342524719368E-001   0.5965229612094151E+034   0.2321540240675007E+012   0.1289821586513221E+001   0.0000000000000000E+000                         1                       -13   0.5258279251718068E+000   0.0000000000000000E+000
  0.3784001199881936E-001   0.5965229612094151E+034   0.2321540240675007E+012   0.1360170121713526E+001   0.0000000000000000E+000                         1                       -12   0.5545072593448768E+000   0.0000000000000000E+000
  0.5233788160840185E-001   0.5965229612094151E+034   0.2321540240675007E+012   0.1502328262893886E+001   0.0000000000000000E+000                         1                       -11   0.6124615696190781E+000   0.0000000000000000E+000
  0.1240995124001581E+000   0.5965229612094151E+034   0.2321540240675007E+012   0.1676060016385144E+001   0.0000000000000000E+000                         1                       -10   0.6832876500863173E+000   0.0000000000000000E+000
  0.2101008126687704E+000   0.5965229612094151E+034   0.2321540240675007E+012   0.1785784151173447E+001   0.0000000000000000E+000                         1                        -9   0.7280194290705527E+000   0.0000000000000000E+000
  0.1690108400295223E+000   0.5965229612094151E+034   0.2321540240675007E+012   0.2015913077183923E+001   0.0000000000000000E+000                         1                        -8   0.8218372229045251E+000   0.0000000000000000E+000
  0.2624773261283628E+000   0.5965229612094151E+034   0.2321540240675007E+012   0.2370394294090866E+001   0.0000000000000000E+000                         1                        -7   0.9663503282421715E+000   0.0000000000000000E+000
  0.6571084080408961E+000   0.5965229612094151E+034   0.2321540240675007E+012   0.2645151201895404E+001   0.0000000000000000E+000                         1                        -6   0.1078361831436222E+001   0.0000000000000000E+000
  0.2822544278251034E+000   0.5965229612094151E+034   0.2321540240675007E+012   0.3062724563580266E+001   0.0000000000000000E+000                         1                        -5   0.1248596022488441E+001   0.0000000000000000E+000
